	Arabidopsis_thaliana	Beta_macrocarpa	Beta_vulgaris_subsp_maritima	Beta_vulgaris_subsp_vulgaris	Brassica_carinata	Brassica_napus	Brassica_oleracea	Carica_papaya	Chaetosphaeridium_globosum	Chara_vulgaris	Citrullus_lanatus	Cucurbita_pepo	Cycas_taitungensis	Marchantia_polymorpha	Nicotiana_tabacum	Nothoceros_aenigmaticus	Oryza_rufipogon	Oryza_sativa_Indica_Group	Oryza_sativa_Japonica_Group	Phaeoceros_laevis	Physcomitrella_patens	Pleurozia_purpurea	Ricinus_communis	Silene_latifolia	Sorghum_bicolor	Tripsacum_dactyloides	Triticum_aestivum	Vigna_radiata	Vitis_vinifera	Zea_luxurians	Zea_mays_subsp_mays	Zea_mays_subsp_parviglumis	Zea_perennis	% of species where gene is present
rps1	0	0	0	0	0	0	0	603	504	573	636	606	594	813	0	0	519	519	519	0	732	777	606	0	552	0	525	624	504	519	519	519	519	63.64
rps1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	3.03
rps10	0	0	0	0	0	0	0	333	276	303	333	333	315	309	363	0	0	0	0	0	0	309	333	0	0	0	0	363	363	0	0	0	0	36.36
rps11	0	0	0	0	0	0	0	0	351	396	0	0	582	378	0	0	0	0	0	0	357	378	0	0	0	0	0	0	417	0	0	0	0	21.21
rps12	378	378	378	378	378	378	378	378	378	381	372	378	378	381	378	0	378	378	378	0	381	381	378	0	378	378	378	378	378	378	378	378	378	90.91
rps13	0	351	351	351	0	0	0	351	369	0	351	351	453	363	351	369	351	351	351	369	369	363	351	0	351	351	351	0	351	351	351	351	351	78.79
rps14	0	0	0	0	303	303	303	303	294	300	0	0	303	300	360	345	0	0	0	0	300	300	0	285	0	0	0	303	357	0	0	0	0	45.45
rps15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	3.03
rps18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	3.03
rps19-1	0	0	0	0	0	0	0	0	0	0	279	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06
rps19-2	0	0	0	0	0	0	0	0	0	0	279	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06
rps19-p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	3.03
rps2	0	0	0	0	0	0	0	0	576	678	0	0	651	714	0	0	1452	1452	1452	0	726	714	0	0	0	0	1083	0	0	1593	0	0	0	33.33
rps2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1602	3.03
rps2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680	0	0	0	0	1596	1596	0	9.09
rps2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	0	0	0	0	0	1251	1251	0	9.09
rps4	1089	948	948	948	1089	1089	1089	1059	531	570	1068	1071	1047	591	1050	0	1059	1059	1059	0	588	591	1059	612	1152	0	1074	1041	1089	1077	1077	0	1077	87.88
rps4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	0	0	0	0	0	1077	0	6.06
rps7	447	447	447	447	447	447	447	450	537	498	447	447	696	693	0	0	447	447	447	0	720	687	447	0	0	447	447	0	447	447	447	447	447	81.82
rps7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	3.03
rps7-ct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	3.03
rps8	0	0	0	0	0	0	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	6.06
rtl	0	0	0	0	0	0	0	0	0	0	0	0	0	2199	0	0	0	0	0	0	0	2166	0	0	0	0	0	0	0	0	0	0	0	6.06
sdh3-1	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
sdh3-2	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
sdh4	0	0	0	0	0	0	0	408	240	279	408	387	0	261	0	258	0	0	0	261	261	261	393	0	0	0	0	0	432	0	0	0	0	36.36
tatC	0	789	789	0	810	0	810	0	0	0	0	0	0	717	0	741	0	0	0	741	735	717	0	0	0	0	0	0	0	0	0	0	0	27.27
ycf4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552	0	0	0	0	3.03
yejR	0	0	0	0	0	0	0	0	0	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
yejU	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
yejV	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ymf16	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03
ymf39	0	0	0	0	0	0	0	0	528	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06
